P,T,fG,NCeq,cH,cC,cG,cN
120000.0,270.0,0.0,38435559.81074895,1.419049374098416e-07,0.0659160654305521,9.737231893349926e-05,3.2852174090439564e-05
120000.0,270.0,0.0023210526315789,36418071.85706271,1.415183327581494e-07,0.0663452953307758,9.607355023507262e-05,3.31767782339171e-05
120000.0,270.0,0.0046421052631578,34399802.03727181,1.4113119421805768e-07,0.066774516266509,9.477757400639616e-05,3.350142205204983e-05
120000.0,270.0,0.0069631578947368,32380848.06552629,1.407429718547874e-07,0.0672037359545588,9.348201657373424e-05,3.3826075460796646e-05
120000.0,270.0,0.0092842105263157,30361210.48487796,1.4035354398817656e-07,0.0676329550438239,9.218667945834468e-05,3.4150736113245415e-05
120000.0,270.0,0.0116052631578947,28340884.286522985,1.3996281202446514e-07,0.068062173763572,9.089149279280784e-05,3.447540322615594e-05
120000.0,270.0,0.0139263157894736,26319862.582934387,1.3957068218822418e-07,0.0684913922239636,8.959642332204596e-05,3.480007645224865e-05
120000.0,270.0,0.0162473684210526,24298137.461451694,1.3917706110101973e-07,0.0689206104857996,8.830145267438965e-05,3.5124755616864344e-05
120000.0,270.0,0.0185684210526315,22275700.26581448,1.3878185414388226e-07,0.0693498285855273,8.70065698404838e-05,3.5449440627586425e-05
120000.0,270.0,0.0208894736842105,20252547.17417957,1.383849645406177e-07,0.0697790465359366,8.571176502600491e-05,3.577413140039433e-05
120000.0,270.0,0.0232105263157894,18228668.92515518,1.379862931725361e-07,0.0702082643479923,8.441703361558933e-05,3.609882790376037e-05
120000.0,270.0,0.0255315789473684,16204048.925270991,1.3758573832139564e-07,0.0706374820420862,8.312237660034728e-05,3.642353016275495e-05
120000.0,270.0,0.0278526315789473,14178670.11196818,1.3718319436770365e-07,0.0710666996317671,8.18277939081255e-05,3.67482382018383e-05
120000.0,270.0,0.0301736842105263,12152521.068574732,1.3677855276666797e-07,0.071495917112057,8.053328595644691e-05,3.707295199622677e-05
120000.0,270.0,0.0324947368421052,10125595.015547749,1.36371702210568e-07,0.0719251344618914,7.923885390433029e-05,3.739767146558545e-05
120000.0,270.0,0.0348157894736842,8097878.795459793,1.3596252785581217e-07,0.0723543516606446,7.794450166307313e-05,3.772239652347579e-05
120000.0,270.0,0.0371368421052631,6069358.728221292,1.355509140485698e-07,0.072783568672523,7.66502406629599e-05,3.804712699888568e-05
